project_id,project_name,city
1,Green Valley Towers,Bangalore
2,Skyline Heights,Dubai
3,Palm Residency,Bangalore
4,Sunset Boulevard,Mumbai
5,Green Valley Towers,Bangalore
6,Palm Residency,Pune
7,Ocean View Residency,Bangalore
8,Skyline Heights,Mumbai
9,City Center Plaza,Mumbai
10,Palm Residency,Pune
11,Ocean View Residency,Mumbai
12,Ocean View Residency,Mumbai
13,Sunset Boulevard,Mumbai
14,Ocean View Residency,Dubai
15,Skyline Heights,Bangalore
16,Sunset Boulevard,Mumbai
17,Sunset Boulevard,Delhi
18,Sunset Boulevard,Bangalore
19,Green Valley Towers,Pune
20,Green Valley Towers,Dubai
21,Skyline Heights,Delhi
22,City Center Plaza,Dubai
23,City Center Plaza,Dubai
24,Sunset Boulevard,Delhi
25,Sunset Boulevard,Delhi
26,City Center Plaza,Dubai
27,Skyline Heights,Delhi
28,Sunset Boulevard,Bangalore
29,Ocean View Residency,Pune
30,Skyline Heights,Pune
31,Skyline Heights,Bangalore
32,City Center Plaza,Dubai
33,City Center Plaza,Mumbai
34,Ocean View Residency,Dubai
35,Palm Residency,Mumbai
36,Palm Residency,Dubai
37,Green Valley Towers,Pune
38,Palm Residency,Mumbai
39,Green Valley Towers,Mumbai
40,City Center Plaza,Bangalore
41,Sunset Boulevard,Delhi
42,Sunset Boulevard,Delhi
43,Palm Residency,Pune
44,Sunset Boulevard,Delhi
45,Ocean View Residency,Dubai
46,Skyline Heights,Dubai
47,Green Valley Towers,Bangalore
48,Skyline Heights,Delhi
49,Skyline Heights,Pune
50,Ocean View Residency,Dubai
51,City Center Plaza,Dubai
52,Ocean View Residency,Mumbai
53,Ocean View Residency,Bangalore
54,Ocean View Residency,Pune
55,Ocean View Residency,Mumbai
56,Green Valley Towers,Delhi
57,Sunset Boulevard,Pune
58,City Center Plaza,Pune
59,Sunset Boulevard,Delhi
60,City Center Plaza,Bangalore
61,Green Valley Towers,Bangalore
62,Sunset Boulevard,Delhi
63,Green Valley Towers,Dubai
64,Green Valley Towers,Pune
65,Green Valley Towers,Bangalore
