campaign_id,campaign_name,channel,budget
1,Sunset Boulevard Launch Campaign,YouTube,100000
2,City Center Plaza Launch Campaign,YouTube,200000
3,Palm Residency Launch Campaign,YouTube,150000
4,Palm Residency Launch Campaign,Facebook Ads,225000
5,Sunset Boulevard Launch Campaign,YouTube,175000
6,Ocean View Residency Launch Campaign,Google Ads,225000
7,Palm Residency Launch Campaign,YouTube,475000
8,City Center Plaza Launch Campaign,Google Ads,125000
9,Sunset Boulevard Launch Campaign,Facebook Ads,225000
10,Sunset Boulevard Launch Campaign,Facebook Ads,75000
11,Ocean View Residency Launch Campaign,Email,125000
12,Skyline Heights Launch Campaign,Google Ads,50000
13,Green Valley Towers Launch Campaign,YouTube,375000
14,Green Valley Towers Launch Campaign,Email,150000
15,Skyline Heights Launch Campaign,Facebook Ads,275000
16,Sunset Boulevard Launch Campaign,Facebook Ads,325000
17,Palm Residency Launch Campaign,Facebook Ads,350000
18,City Center Plaza Launch Campaign,Google Ads,175000
19,Skyline Heights Launch Campaign,Email,175000
20,Ocean View Residency Launch Campaign,YouTube,425000
21,Green Valley Towers Launch Campaign,YouTube,75000
22,City Center Plaza Launch Campaign,Facebook Ads,275000
23,Skyline Heights Launch Campaign,YouTube,300000
24,Skyline Heights Launch Campaign,YouTube,400000
25,City Center Plaza Launch Campaign,Email,325000
26,Sunset Boulevard Launch Campaign,Email,125000
27,Green Valley Towers Launch Campaign,Facebook Ads,75000
28,Palm Residency Launch Campaign,Google Ads,425000
29,City Center Plaza Launch Campaign,Google Ads,150000
30,Sunset Boulevard Launch Campaign,Email,275000
31,Sunset Boulevard Launch Campaign,Google Ads,250000
32,Skyline Heights Launch Campaign,Email,400000
33,Skyline Heights Launch Campaign,Facebook Ads,200000
34,City Center Plaza Launch Campaign,Facebook Ads,450000
35,Palm Residency Launch Campaign,Email,100000
36,Green Valley Towers Launch Campaign,Google Ads,350000
37,City Center Plaza Launch Campaign,Google Ads,175000
38,Skyline Heights Launch Campaign,Email,350000
39,Ocean View Residency Launch Campaign,Google Ads,450000
40,Ocean View Residency Launch Campaign,YouTube,275000
41,Ocean View Residency Launch Campaign,Email,375000
42,Skyline Heights Launch Campaign,Google Ads,450000
43,Skyline Heights Launch Campaign,Email,275000
44,Green Valley Towers Launch Campaign,Email,175000
45,Ocean View Residency Launch Campaign,Google Ads,225000
46,Ocean View Residency Launch Campaign,Email,50000
47,Green Valley Towers Launch Campaign,Email,325000
48,Green Valley Towers Launch Campaign,Email,100000
49,Green Valley Towers Launch Campaign,Google Ads,375000
50,Palm Residency Launch Campaign,Google Ads,225000
51,City Center Plaza Launch Campaign,YouTube,300000
52,Ocean View Residency Launch Campaign,YouTube,125000
53,Ocean View Residency Launch Campaign,Email,225000
54,Ocean View Residency Launch Campaign,Facebook Ads,175000
55,City Center Plaza Launch Campaign,Google Ads,450000
56,Green Valley Towers Launch Campaign,YouTube,425000
57,Sunset Boulevard Launch Campaign,YouTube,50000
58,Palm Residency Launch Campaign,YouTube,50000
59,Ocean View Residency Launch Campaign,Facebook Ads,50000
60,City Center Plaza Launch Campaign,Facebook Ads,150000
61,Green Valley Towers Launch Campaign,Email,275000
62,Skyline Heights Launch Campaign,Google Ads,75000
63,Ocean View Residency Launch Campaign,YouTube,125000
64,Skyline Heights Launch Campaign,Email,75000
65,Palm Residency Launch Campaign,Facebook Ads,275000
